date,temp_mean,temp_min,temp_max,precip_sum,humidity_mean,wind_speed_mean,concentration
2019-06-03,17.391666666666666,12.0,20.5,0.0,55.625,16.216666666666665,2.949685534591195
2019-06-04,16.95,7.8,22.6,0.0,46.5,8.958333333333334,2.943396226415094
2019-06-05,19.8125,9.9,26.0,0.0,43.791666666666664,9.754166666666666,2.9371069182389937
2019-06-06,22.333333333333332,12.0,28.8,0.0,43.083333333333336,7.6375,2.930817610062893
2019-06-07,23.754166666666666,14.4,30.1,0.0,44.5,8.045833333333333,2.9245283018867925
2019-06-08,24.7375,18.0,30.2,0.0,46.833333333333336,6.966666666666666,2.9182389937106916
2019-06-09,25.6125,17.2,30.7,0.0,49.291666666666664,10.041666666666666,2.911949685534591
2019-06-10,22.570833333333336,17.0,26.4,1.3,62.25,10.1,2.9056603773584904
2019-06-11,22.4875,15.6,28.1,0.0,51.791666666666664,8.533333333333333,2.89937106918239
2019-06-12,19.712500000000002,14.5,25.5,1.2,61.0,9.808333333333334,2.893081761006289
2019-06-13,14.729166666666666,9.6,19.5,0.0,46.625,13.854166666666666,0.0
2019-06-14,17.816666666666666,9.2,24.2,1.1,64.375,16.2375,0.0
2019-06-15,16.787499999999998,12.8,20.6,0.1,74.25,8.1625,0.0
2019-06-16,17.541666666666668,13.4,21.5,1.0,70.5,10.129166666666666,0.0
2019-06-17,19.545833333333334,11.8,25.9,0.2,62.375,11.616666666666667,0.0
2019-06-18,21.770833333333332,16.9,26.3,0.39999999999999997,57.625,13.245833333333332,0.0
2019-06-19,21.775000000000002,14.1,27.2,0.0,48.458333333333336,11.216666666666667,0.0
2019-06-20,23.287499999999998,15.2,29.3,0.0,47.375,6.670833333333333,0.0
2019-06-21,24.141666666666666,15.7,29.5,0.0,48.916666666666664,9.299999999999999,0.0
2019-06-22,25.670833333333334,20.1,31.7,0.2,54.666666666666664,15.308333333333332,0.0
2019-06-23,22.349999999999998,19.6,26.1,0.1,55.75,13.945833333333333,0.0
2019-06-24,20.691666666666666,16.1,25.8,1.0,47.875,12.566666666666668,0.0
2019-06-25,18.875,12.4,23.0,0.0,48.416666666666664,13.308333333333332,0.0
2019-06-26,17.304166666666667,12.5,23.5,7.4,66.25,8.854166666666666,0.0
2019-06-27,14.470833333333333,12.4,16.1,19.4,92.33333333333333,16.445833333333333,0.0
2019-06-28,13.570833333333333,10.8,16.0,24.1,90.875,21.5125,0.0
2019-06-29,11.066666666666668,9.6,12.8,4.6000000000000005,79.625,26.854166666666668,0.0
2019-06-30,14.358333333333333,8.8,18.5,3.3000000000000003,70.45833333333333,14.508333333333333,0.0
